datetime,symbol,open,high,low,close,volume
2026-05-28 00:00:00,OANDA:BCOUSD,97.878,98.122,97.878,97.972,210.0
2026-05-28 00:05:00,OANDA:BCOUSD,97.966,98.074,97.936,98.06,162.0
2026-05-28 00:10:00,OANDA:BCOUSD,98.054,98.586,98.012,98.56,444.0
2026-05-28 00:15:00,OANDA:BCOUSD,98.572,98.846,98.488,98.684,395.0
2026-05-28 00:20:00,OANDA:BCOUSD,98.68,98.762,98.602,98.606,265.0
2026-05-28 00:25:00,OANDA:BCOUSD,98.602,98.612,98.378,98.452,236.0
2026-05-28 00:30:00,OANDA:BCOUSD,98.446,98.824,98.416,98.818,214.0
2026-05-28 00:35:00,OANDA:BCOUSD,98.922,99.0,98.834,98.942,299.0
2026-05-28 00:40:00,OANDA:BCOUSD,98.932,99.04,98.9,99.004,153.0
2026-05-28 00:45:00,OANDA:BCOUSD,99.024,99.081,98.91,98.962,190.0
2026-05-28 00:50:00,OANDA:BCOUSD,98.967,99.009,98.906,98.936,97.0
2026-05-28 00:55:00,OANDA:BCOUSD,98.972,99.096,98.966,99.06,106.0
2026-05-28 01:00:00,OANDA:BCOUSD,99.06,99.252,99.06,99.112,195.0
2026-05-28 01:05:00,OANDA:BCOUSD,99.116,99.126,98.842,98.92,144.0
2026-05-28 01:10:00,OANDA:BCOUSD,98.924,99.11,98.924,99.008,104.0
2026-05-28 01:15:00,OANDA:BCOUSD,99.012,99.136,98.986,99.09,135.0
2026-05-28 01:20:00,OANDA:BCOUSD,99.094,99.146,99.058,99.14,127.0
2026-05-28 01:25:00,OANDA:BCOUSD,99.146,99.342,99.1,99.238,223.0
2026-05-28 01:30:00,OANDA:BCOUSD,99.234,99.238,99.094,99.182,146.0
2026-05-28 01:35:00,OANDA:BCOUSD,99.186,99.186,99.094,99.098,136.0
2026-05-28 01:40:00,OANDA:BCOUSD,99.088,99.134,99.046,99.134,145.0
2026-05-28 01:45:00,OANDA:BCOUSD,99.14,99.16,99.005,99.014,115.0
2026-05-28 01:50:00,OANDA:BCOUSD,99.01,99.03,98.896,99.03,136.0
2026-05-28 01:55:00,OANDA:BCOUSD,99.025,99.092,98.974,99.056,114.0
2026-05-28 02:00:00,OANDA:BCOUSD,99.03,99.097,98.946,98.962,142.0
2026-05-28 02:05:00,OANDA:BCOUSD,98.968,98.994,98.89,98.926,144.0
2026-05-28 02:10:00,OANDA:BCOUSD,98.92,98.946,98.894,98.93,93.0
2026-05-28 02:15:00,OANDA:BCOUSD,98.926,98.998,98.914,98.936,69.0
2026-05-28 02:20:00,OANDA:BCOUSD,98.914,99.013,98.909,98.986,91.0
2026-05-28 02:25:00,OANDA:BCOUSD,98.981,98.981,98.898,98.956,91.0
2026-05-28 02:30:00,OANDA:BCOUSD,98.944,98.944,98.5,98.536,416.0
2026-05-28 02:35:00,OANDA:BCOUSD,98.552,98.66,98.236,98.256,354.0
2026-05-28 02:40:00,OANDA:BCOUSD,98.24,98.478,98.214,98.462,247.0
2026-05-28 02:45:00,OANDA:BCOUSD,98.452,98.488,98.318,98.348,134.0
2026-05-28 02:50:00,OANDA:BCOUSD,98.358,98.4,98.254,98.286,131.0
2026-05-28 02:55:00,OANDA:BCOUSD,98.296,98.394,98.296,98.364,136.0
2026-05-28 03:00:00,OANDA:BCOUSD,98.368,98.42,98.11,98.14,190.0
2026-05-28 03:05:00,OANDA:BCOUSD,98.136,98.16,98.016,98.156,216.0
2026-05-28 03:10:00,OANDA:BCOUSD,98.166,98.196,98.062,98.166,194.0
2026-05-28 03:15:00,OANDA:BCOUSD,98.15,98.258,98.082,98.14,153.0
2026-05-28 03:20:00,OANDA:BCOUSD,98.144,98.362,98.108,98.346,148.0
