trade_id,date,time,symbol,side,type,quantity,fill_price,pnl_usd,commission_usd,session,trader
2026-05-28_GER40_0736_martin,2026-05-28,07:36,FOREXCOM:GER40,Sell,Market,30,25073.8,712.86,0.90,ger40_morning,martin
2026-05-28_GER40_0746_martin,2026-05-28,07:46,FOREXCOM:GER40,Sell,Market,10,25064.8,38.63,0.90,ger40_morning,martin
2026-05-28_GER40_0752_martin,2026-05-28,07:52,FOREXCOM:GER40,Sell,Market,10,25048.3,67.89,0.90,ger40_morning,martin
2026-05-28_GER40_0800_martin,2026-05-28,08:00,FOREXCOM:GER40,Sell,Market,30,25052.3,-65.55,0.90,ger40_morning,martin
2026-05-28_GER40_0804_martin,2026-05-28,08:04,FOREXCOM:GER40,Sell,Market,30,25042.8,92.47,0.90,ger40_morning,martin
2026-05-28_GER40_0808_martin,2026-05-28,08:08,FOREXCOM:GER40,Buy,Market,10,25038.8,-8.19,0.90,ger40_morning,martin
2026-05-28_USTEC_1108_martin,2026-05-28,11:08,TRADENATION:USTEC,Buy,Market,10,29957.3,66.00,0.90,ustec_am,martin
2026-05-28_USTEC_1109_martin,2026-05-28,11:09,TRADENATION:USTEC,Buy,Market,10,29966.8,164.00,0.90,ustec_am,martin
2026-05-28_USTEC_1113_martin,2026-05-28,11:13,TRADENATION:USTEC,Buy,Market,30,30055.2,2911.00,0.90,ustec_am,martin
2026-05-28_USTEC_1117_martin,2026-05-28,11:17,TRADENATION:USTEC,Buy,Market,40,30086.3,207.00,0.90,ustec_am,martin
2026-05-28_USTEC_1118_martin,2026-05-28,11:18,TRADENATION:USTEC,Buy,Market,20,30089.7,356.00,0.90,ustec_am,martin
2026-05-28_USTEC_1121_martin,2026-05-28,11:21,TRADENATION:USTEC,Sell,Market,10,30052.1,235.00,0.90,ustec_am,martin
2026-05-28_USTEC_1126_martin,2026-05-28,11:26,TRADENATION:USTEC,Buy,Market,10,30044.9,213.00,0.90,ustec_am,martin
2026-05-28_USTEC_1134_martin,2026-05-28,11:34,TRADENATION:USTEC,Sell,Market,20,30061.0,103.00,0.90,ustec_am,martin
2026-05-28_USTEC_1136_martin,2026-05-28,11:36,TRADENATION:USTEC,Sell,Market,10,30050.5,59.00,0.90,ustec_am,martin
2026-05-28_USTEC_1138a_martin,2026-05-28,11:38,TRADENATION:USTEC,Sell,Market,10,30058.6,142.00,0.90,ustec_am,martin
2026-05-28_USTEC_1142_martin,2026-05-28,11:42,TRADENATION:USTEC,Sell,Market,30,30063.2,110.00,0.90,ustec_am,martin
2026-05-28_USTEC_1148_martin,2026-05-28,11:48,TRADENATION:USTEC,Sell,Market,10,30078.0,34.00,0.90,ustec_am,martin
2026-05-28_USTEC_1150_martin,2026-05-28,11:50,TRADENATION:USTEC,Sell,Market,10,30080.0,19.00,0.90,ustec_am,martin
2026-05-28_USTEC_1159_martin,2026-05-28,11:59,TRADENATION:USTEC,Sell,Market,10,30119.8,-399.00,0.90,ustec_am,martin
2026-05-28_USTEC_1206_martin,2026-05-28,12:06,TRADENATION:USTEC,Buy,Market,30,30153.9,149.00,0.90,ustec_pm,martin
2026-05-28_USTEC_1215_martin,2026-05-28,12:15,TRADENATION:USTEC,Buy,Market,40,30141.1,-966.00,0.90,ustec_pm,martin
2026-05-28_USTEC_1228_martin,2026-05-28,12:28,TRADENATION:USTEC,Buy,Market,40,30200.8,1341.00,0.90,ustec_pm,martin
2026-05-28_USTEC_1239_martin,2026-05-28,12:39,TRADENATION:USTEC,Buy,Market,30,30217.3,585.00,0.90,ustec_pm,martin
2026-05-28_USTEC_1327_martin,2026-05-28,13:27,TRADENATION:USTEC,Buy,Market,30,30240.2,1012.00,0.90,ustec_pm,martin
2026-05-28_USTEC_1347_martin,2026-05-28,13:47,TRADENATION:USTEC,Buy,Market,10,30244.8,54.00,0.90,ustec_pm,martin
2026-05-28_USTEC_1358_martin,2026-05-28,13:58,TRADENATION:USTEC,Sell,Market,20,30251.7,-336.00,0.90,ustec_pm,martin
2026-05-28_SPX_1643_martin,2026-05-28,16:43,TVC:SPX,Sell,Market,35,7564.85,12.11,0.90,us_pm,martin
2026-05-28_SPX_1645_martin,2026-05-28,16:45,TVC:SPX,Sell,Market,35,7564.43,0.00,0.90,us_pm,martin
2026-05-28_US30_1651_martin,2026-05-28,16:51,FOREXCOM:US30,Buy,Market,30,50669.5,248.00,0.90,us_pm,martin
2026-05-28_US30_1654_martin,2026-05-28,16:54,FOREXCOM:US30,Sell,Market,20,50677.9,17.00,0.90,us_pm,martin
2026-05-28_US30_1702_martin,2026-05-28,17:02,FOREXCOM:US30,Buy,Market,30,50704.5,378.00,0.90,us_pm,martin
2026-05-28_US30_1703_martin,2026-05-28,17:03,FOREXCOM:US30,Buy,Market,20,50707.5,37.00,0.90,us_pm,martin
2026-05-28_JAPAN225_2051_martin,2026-05-28,20:51,WHSELFINVEST:JAPAN225CFD,Sell,Market,500,65600.0,0.00,0.90,japan,martin
2026-05-28_JAPAN225_2052_martin,2026-05-28,20:52,WHSELFINVEST:JAPAN225CFD,Buy,Market,500,65600.0,0.00,0.90,japan,martin
2026-05-28_JAPAN225_2059_martin,2026-05-28,20:59,WHSELFINVEST:JAPAN225CFD,Buy,Market,500,65793.0,-607.61,0.90,japan,martin
2026-05-28_JAPAN225_2102_martin,2026-05-28,21:02,WHSELFINVEST:JAPAN225CFD,Sell,Market,500,65599.0,-607.61,0.90,japan,martin
2026-05-28_JAPAN225_2106_martin,2026-05-28,21:06,WHSELFINVEST:JAPAN225CFD,Buy,Market,500,65926.0,0.00,0.90,japan,martin
2026-05-28_JAPAN225_2110_martin,2026-05-28,21:10,WHSELFINVEST:JAPAN225CFD,Buy,Market,500,65896.0,0.00,0.90,japan,martin
2026-05-28_JAPAN225_2111a_martin,2026-05-28,21:11,WHSELFINVEST:JAPAN225CFD,Sell,Market,1000,65917.0,37.58,0.90,japan,martin
2026-05-28_JAPAN225_2111b_martin,2026-05-28,21:11,WHSELFINVEST:JAPAN225CFD,Sell,Market,500,65894.0,0.00,0.90,japan,martin
2026-05-28_JAPAN225_2113_martin,2026-05-28,21:13,WHSELFINVEST:JAPAN225CFD,Buy,Market,500,65894.0,0.00,0.90,japan,martin
2026-05-28_JAPAN225_2114_martin,2026-05-28,21:14,WHSELFINVEST:JAPAN225CFD,Sell,Market,500,65947.0,25.06,0.90,japan,martin
2026-05-28_JAPAN225_2115a_martin,2026-05-28,21:15,WHSELFINVEST:JAPAN225CFD,Buy,Market,500,65939.0,25.06,0.90,japan,martin
2026-05-28_JAPAN225_2116_martin,2026-05-28,21:16,WHSELFINVEST:JAPAN225CFD,Buy,Market,500,65984.0,0.00,0.90,japan,martin
2026-05-28_JAPAN225_2117_martin,2026-05-28,21:17,WHSELFINVEST:JAPAN225CFD,Buy,Market,500,66016.0,0.00,0.90,japan,martin
2026-05-28_JAPAN225_2118_martin,2026-05-28,21:18,WHSELFINVEST:JAPAN225CFD,Buy,Market,500,65909.0,0.00,0.90,japan,martin
2026-05-28_JAPAN225_2122_martin,2026-05-28,21:22,WHSELFINVEST:JAPAN225CFD,Buy,Market,500,65801.0,0.00,0.90,japan,martin
2026-05-28_JAPAN225_2126_martin,2026-05-28,21:26,WHSELFINVEST:JAPAN225CFD,Sell,Market,2500,66014.0,1240.27,0.90,japan,martin
2026-05-28_JAPAN225_2127_martin,2026-05-28,21:27,WHSELFINVEST:JAPAN225CFD,Buy,Market,500,65966.0,0.00,0.90,japan,martin
2026-05-28_JAPAN225_2128_martin,2026-05-28,21:28,WHSELFINVEST:JAPAN225CFD,Sell,Market,500,65979.0,40.72,0.90,japan,martin
2026-05-28_JAPAN225_2129_martin,2026-05-28,21:29,WHSELFINVEST:JAPAN225CFD,Buy,Market,500,65974.0,0.00,0.90,japan,martin
2026-05-28_JAPAN225_2132_martin,2026-05-28,21:32,WHSELFINVEST:JAPAN225CFD,Buy,Market,500,65854.0,0.00,0.90,japan,martin
2026-05-28_JAPAN225_2139_martin,2026-05-28,21:39,WHSELFINVEST:JAPAN225CFD,Buy,Market,500,65779.0,0.00,0.90,japan,martin
2026-05-28_JAPAN225_2149_martin,2026-05-28,21:49,WHSELFINVEST:JAPAN225CFD,Buy,Market,500,65721.0,0.00,0.90,japan,martin
2026-05-28_JAPAN225_2208_martin,2026-05-28,22:08,WHSELFINVEST:JAPAN225CFD,Sell,Market,2000,65914.0,1027.30,0.90,japan,martin
2026-05-28_JAPAN225_2212_martin,2026-05-28,22:12,WHSELFINVEST:JAPAN225CFD,Sell,Market,500,65899.0,0.00,0.90,japan,martin
2026-05-28_JAPAN225_2214_martin,2026-05-28,22:14,WHSELFINVEST:JAPAN225CFD,Sell,Market,500,65824.0,0.00,0.90,japan,martin
2026-05-28_JAPAN225_2216_martin,2026-05-28,22:16,WHSELFINVEST:JAPAN225CFD,Sell,Market,500,65952.0,0.00,0.90,japan,martin
