Symbol,Side,Type,Quantity,Limit price,Stop price,Fill price,Status,Commission,Placing time,Closing time,Order ID,Level ID,Leverage,Margin
FOREXCOM:US30,Sell,Market,30,,,50704.5,Filled,0.9,2026-05-28 17:02:30,2026-05-28 17:02:30,3122545961,,100:1,"15,211.35 USD"
FOREXCOM:US30,Sell,Market,30,,,50669.5,Filled,0.9,2026-05-28 16:51:26,2026-05-28 16:51:26,3122520139,,100:1,"15,200.85 USD"
TRADENATION:USTEC,Sell,Market,40,,,30200.8,Filled,0.9,2026-05-28 12:28:56,2026-05-28 12:28:56,3121626419,,100:1,"12,080.32 USD"
TRADENATION:USTEC,Sell,Market,40,,,30141.1,Filled,0.9,2026-05-28 12:15:38,2026-05-28 12:15:38,3121566278,,100:1,"12,056.44 USD"
TRADENATION:USTEC,Sell,Market,40,,,30086.3,Filled,0.9,2026-05-28 11:17:00,2026-05-28 11:17:00,3121201382,,100:1,"12,034.52 USD"
FOREXCOM:US30,Sell,Market,20,,,50707.5,Filled,0.9,2026-05-28 17:03:31,2026-05-28 17:03:31,3122548060,,100:1,"10,141.50 USD"
FOREXCOM:US30,Buy,Market,20,,,50677.9,Filled,0.9,2026-05-28 16:54:35,2026-05-28 16:54:35,3122528249,,100:1,"10,135.58 USD"
TRADENATION:USTEC,Sell,Market,30,,,30240.2,Filled,0.9,2026-05-28 13:27:27,2026-05-28 13:27:27,3121867227,,100:1,"9,072.06 USD"
TRADENATION:USTEC,Sell,Market,30,,,30217.3,Filled,0.9,2026-05-28 12:39:12,2026-05-28 12:39:12,3121670636,,100:1,"9,065.19 USD"
TRADENATION:USTEC,Sell,Market,30,,,30153.9,Filled,0.9,2026-05-28 12:06:46,2026-05-28 12:06:46,3121522925,,100:1,"9,046.17 USD"
TRADENATION:USTEC,Buy,Market,30,,,30063.2,Filled,0.9,2026-05-28 11:42:23,2026-05-28 11:42:23,3121385985,,100:1,"9,018.96 USD"
TRADENATION:USTEC,Sell,Market,30,,,30055.2,Filled,0.9,2026-05-28 11:13:23,2026-05-28 11:13:23,3121157168,,100:1,"9,016.56 USD"
WHSELFINVEST:JAPAN225CFD,Sell,Market,2000,,,65914,Filled,0.9,2026-05-28 22:08:55,2026-05-28 22:08:55,3122964358,,100:1,"8,257.71 USD"
TRADENATION:USTEC,Buy,Market,20,,,30251.7,Filled,0.9,2026-05-28 13:58:40,2026-05-28 13:58:40,3121986066,,100:1,"6,050.34 USD"
TRADENATION:USTEC,Sell,Market,20,,,30089.7,Filled,0.9,2026-05-28 11:18:48,2026-05-28 11:18:48,3121218173,,100:1,"6,017.94 USD"
FOREXCOM:US30,Buy,Market,10,,,50709.9,Filled,0.9,2026-05-28 17:01:29,2026-05-28 17:01:29,3122543685,,100:1,"5,070.99 USD"
FOREXCOM:US30,Buy,Market,10,,,50708.4,Filled,0.9,2026-05-28 17:03:21,2026-05-28 17:03:21,3122547707,,100:1,"5,070.84 USD"
FOREXCOM:US30,Buy,Market,10,,,50702.9,Filled,0.9,2026-05-28 17:02:46,2026-05-28 17:02:46,3122546479,,100:1,"5,070.29 USD"
FOREXCOM:US30,Buy,Market,10,,,50692.4,Filled,0.9,2026-05-28 16:55:40,2026-05-28 16:55:40,3122530888,,100:1,"5,069.24 USD"
FOREXCOM:US30,Sell,Market,10,,,50681,Filled,0.9,2026-05-28 16:53:52,2026-05-28 16:53:52,3122526424,,100:1,"5,068.10 USD"
FOREXCOM:US30,Sell,Market,10,,,50676.5,Filled,0.9,2026-05-28 16:53:40,2026-05-28 16:53:40,3122525997,,100:1,"5,067.65 USD"
FOREXCOM:US30,Buy,Market,10,,,50673.4,Filled,0.9,2026-05-28 16:57:03,2026-05-28 16:57:03,3122534058,,100:1,"5,067.34 USD"
FOREXCOM:US30,Buy,Market,10,,,50665.9,Filled,0.9,2026-05-28 16:46:32,2026-05-28 16:46:32,3122508296,,100:1,"5,066.59 USD"
FOREXCOM:US30,Buy,Market,10,,,50664.4,Filled,0.9,2026-05-28 16:46:24,2026-05-28 16:46:24,3122507939,,100:1,"5,066.44 USD"
FOREXCOM:US30,Buy,Market,10,,,50653.4,Filled,0.9,2026-05-28 16:47:28,2026-05-28 16:47:28,3122510548,,100:1,"5,065.34 USD"
WHSELFINVEST:JAPAN225CFD,Sell,Market,1000,,,65917,Filled,0.9,2026-05-28 21:11:31,2026-05-28 21:11:31,3122857880,,100:1,"4,129.04 USD"
TRADENATION:USTEC,Sell,Market,10,,,30244.8,Filled,0.9,2026-05-28 13:47:27,2026-05-28 13:47:27,3121943724,,100:1,"3,024.48 USD"
