Time,Text
2026-05-28 22:20:38,Order 3122973575 modification confirmed
2026-05-28 22:20:38,Modify position for symbol WHSELFINVEST:JAPAN225CFD with TP 65788
2026-05-28 22:20:32,Order 3122973575 modification confirmed
2026-05-28 22:20:32,Modify position for symbol WHSELFINVEST:JAPAN225CFD with TP 65825
2026-05-28 22:19:52,Order 3122973575 modification confirmed
2026-05-28 22:19:52,Modify position for symbol WHSELFINVEST:JAPAN225CFD with TP 65782
2026-05-28 22:16:20,Order 3122973575 modification confirmed
2026-05-28 22:16:20,Modify position for symbol WHSELFINVEST:JAPAN225CFD with TP 65731
2026-05-28 22:16:08,Order 3122980481 for symbol WHSELFINVEST:JAPAN225CFD has been executed at price 65952 for 500 units
2026-05-28 22:16:08,Order 3122980481 successfully placed
2026-05-28 22:16:08,Call to place market order to sell 500 units of symbol WHSELFINVEST:JAPAN225CFD 
2026-05-28 22:14:00,Order 3122975907 for symbol WHSELFINVEST:JAPAN225CFD has been executed at price 65824 for 500 units
2026-05-28 22:14:00,Order 3122975907 successfully placed
2026-05-28 22:14:00,Call to place market order to sell 500 units of symbol WHSELFINVEST:JAPAN225CFD 
2026-05-28 22:12:57,Order 3122973575 successfully placed
2026-05-28 22:12:57,Modify position for symbol WHSELFINVEST:JAPAN225CFD with TP 65653
2026-05-28 22:12:52,Order 3122973396 for symbol WHSELFINVEST:JAPAN225CFD has been executed at price 65899 for 500 units
2026-05-28 22:12:52,Order 3122973396 successfully placed
2026-05-28 22:12:52,Call to place market order to sell 500 units of symbol WHSELFINVEST:JAPAN225CFD 
2026-05-28 22:08:55,Order 3122964358 for symbol WHSELFINVEST:JAPAN225CFD has been executed at price 65914 for 2000 units
2026-05-28 22:08:55,Order 3122964358 successfully placed
2026-05-28 22:08:55,Order 3122917083 successfully cancelled
2026-05-28 22:08:55,Call to place market order to sell 2000 units of symbol WHSELFINVEST:JAPAN225CFD 
2026-05-28 22:08:42,Order 3122917083 modification confirmed
2026-05-28 22:08:42,Modify position for symbol WHSELFINVEST:JAPAN225CFD with TP 65976
2026-05-28 22:03:10,Order 3122917083 modification confirmed
2026-05-28 22:03:09,Modify position for symbol WHSELFINVEST:JAPAN225CFD with TP 65943
2026-05-28 21:49:18,Order 3122926200 for symbol WHSELFINVEST:JAPAN225CFD has been executed at price 65721 for 500 units
2026-05-28 21:49:18,Order 3122926200 successfully placed
2026-05-28 21:49:18,Call to place market order to buy 500 units of symbol WHSELFINVEST:JAPAN225CFD 
2026-05-28 21:43:47,Order 3122917083 successfully placed
2026-05-28 21:43:47,Modify position for symbol WHSELFINVEST:JAPAN225CFD with TP 65992
2026-05-28 21:39:01,Order 3122908576 for symbol WHSELFINVEST:JAPAN225CFD has been executed at price 65779 for 500 units
2026-05-28 21:39:01,Order 3122908576 successfully placed
