Datum,Zeit,Symbol,Richtung,Einheiten,Entry_Avg,Exit_Avg,Brutto_PnL,Kommission,Netto_PnL,Ergebnis,Phase,Behaviour_Pattern,Notiz
2026-05-28,07:36,GER40,Short,30,25094.1,25073.8,712.86,-0.90,711.96,WIN,GER40 Morning,,
2026-05-28,07:46,GER40,Short,10,25068.1,25064.8,38.63,-0.90,37.73,WIN,GER40 Morning,,
2026-05-28,07:52,GER40,Short,10,25054.1,25048.3,67.89,-0.90,66.99,WIN,GER40 Morning,,
2026-05-28,08:00,GER40,Short,30,25050.4,25052.3,-65.55,-0.90,-66.45,LOSS,GER40 Morning,,
2026-05-28,08:04,GER40,Short,30,25045.4,25042.8,92.47,-0.90,91.57,WIN,GER40 Morning,,
2026-05-28,08:08,GER40,Short,10,25038.1,25038.8,-8.19,-0.90,-9.09,LOSS,GER40 Morning,,
2026-05-28,11:08,USTEC,Long,10,29950.7,29957.3,66.00,-0.90,65.10,WIN,USTEC Long AM,,
2026-05-28,11:09,USTEC,Long,10,29950.4,29966.8,164.00,-0.90,163.10,WIN,USTEC Long AM,,
2026-05-28,11:13,USTEC,Long,30,29958.2,30055.2,2911.00,-0.90,2910.10,WIN,USTEC Long AM,,Anchor Trade des Tages
2026-05-28,11:17,USTEC,Long,40,30081.1,30086.3,207.00,-0.90,206.10,WIN,USTEC Long AM,,
2026-05-28,11:18,USTEC,Long,20,30071.9,30089.7,356.00,-0.90,355.10,WIN,USTEC Long AM,,
2026-05-28,11:21,USTEC,Short,10,30075.6,30052.1,235.00,-0.90,234.10,WIN,USTEC Short AM,,
2026-05-28,11:26,USTEC,Long,10,30023.6,30044.9,213.00,-0.90,212.10,WIN,USTEC Long AM,,
2026-05-28,11:34,USTEC,Short,20,30066.2,30061.0,103.00,-0.90,102.10,WIN,USTEC Short AM,,
2026-05-28,11:36,USTEC,Short,10,30056.4,30050.5,59.00,-0.90,58.10,WIN,USTEC Short AM,,
2026-05-28,11:38,USTEC,Short,10,30072.8,30058.6,142.00,-0.90,141.10,WIN,USTEC Short AM,,
2026-05-28,11:42,USTEC,Short,30,30066.9,30063.2,110.00,-0.90,109.10,WIN,USTEC Short AM,,
2026-05-28,11:48,USTEC,Short,10,30081.4,30078.0,34.00,-0.90,33.10,WIN,USTEC Short AM,,
2026-05-28,11:50,USTEC,Short,10,30081.9,30080.0,19.00,-0.90,18.10,WIN,USTEC Short AM,,
2026-05-28,11:59,USTEC,Short,10,30079.9,30119.8,-399.00,-0.90,-399.90,LOSS,USTEC Short AM,,Gegen Trend
2026-05-28,12:06,USTEC,Long,30,30148.9,30153.9,149.00,-0.90,148.10,WIN,USTEC Long PM,,
2026-05-28,12:15,USTEC,Long,40,30165.3,30141.1,-966.00,-0.90,-966.90,LOSS,USTEC Long PM,FOMO Top Scale,Zu spät eingestiegen + sofort max skaliert
2026-05-28,12:28,USTEC,Long,40,30167.3,30200.8,1341.00,-0.90,1340.10,WIN,USTEC Long PM,,
2026-05-28,12:39,USTEC,Long,30,30197.8,30217.3,585.00,-0.90,584.10,WIN,USTEC Long PM,,
2026-05-28,13:27,USTEC,Long,30,30206.5,30240.2,1012.00,-0.90,1011.10,WIN,USTEC Long PM,,
2026-05-28,13:47,USTEC,Long,10,30239.4,30244.8,54.00,-0.90,53.10,WIN,USTEC Long PM,,
2026-05-28,13:58,USTEC,Short,20,30234.9,30251.7,-336.00,-0.90,-336.90,LOSS,USTEC Short PM,Context Switch Exit,Gegen Trend + Dinner-Termin
2026-05-28,16:43,SPX,Short,35,7565.2,7564.85,12.11,-0.90,11.21,WIN,US30/SPX PM,,
2026-05-28,16:45,SPX,Short,35,7564.43,7564.43,0.00,-0.90,-0.90,BE,US30/SPX PM,,
2026-05-28,16:51,US30,Long,30,50661.2,50669.5,248.00,-0.90,247.10,WIN,US30/SPX PM,,
2026-05-28,16:54,US30,Short,20,50678.8,50677.9,17.00,-0.90,16.10,WIN,US30/SPX PM,,
2026-05-28,17:02,US30,Long,30,50691.9,50704.5,378.00,-0.90,377.10,WIN,US30/SPX PM,,
2026-05-28,17:03,US30,Long,20,50705.7,50707.5,37.00,-0.90,36.10,WIN,US30/SPX PM,,
